p (mbar),T (degC),Tdew (degC),rh (%),max. wv (m/s),SWDR (W/m�)
978.07,13.71,8.65,71.44,6.3,141.51
977.98,13.76,8.59,70.94,7.47,134.47
977.84,13.89,8.63,70.51,6.97,106.22
977.72,13.92,8.77,71.07,6.78,92.08
977.71,13.73,8.94,72.79,5.85,83.9
977.61,13.62,9.0,73.59,6.72,92.22
977.52,13.63,9.05,73.81,7.56,61.79
977.45,13.61,9.09,74.09,7.09,83.02
977.35,13.67,9.22,74.43,6.12,61.81
977.27,13.65,9.21,74.5,6.27,57.94
977.17,13.63,9.16,74.36,6.7,66.09
977.03,13.66,8.92,73.02,8.77,96.16
976.91,13.71,8.82,72.29,7.82,104.67
976.81,13.73,8.79,72.04,9.44,94.77
976.8,13.74,8.87,72.39,9.74,93.89
976.76,13.65,8.92,73.03,11.25,63.74
976.8,13.5,9.0,74.18,9.27,45.96
976.7,13.33,9.11,75.53,10.5,43.75
976.67,13.04,9.29,77.93,9.46,40.79
976.76,12.79,9.51,80.4,8.49,31.85
976.73,12.67,9.59,81.5,9.06,28.2
976.69,12.6,9.63,82.1,6.77,16.64
976.71,12.51,9.6,82.4,6.7,5.33
976.68,12.54,9.56,82.0,6.69,2.47
976.61,12.51,9.55,82.1,6.81,0.29
976.64,12.46,9.53,82.3,6.49,0.0
976.64,12.46,9.5,82.1,5.47,0.0
976.6,12.49,9.53,82.1,4.7,0.0
976.65,12.37,9.61,83.2,5.56,0.0
976.68,12.16,9.81,85.5,4.63,0.0
976.66,12.14,9.93,86.3,3.67,0.0
976.67,12.16,9.88,85.9,2.87,0.0
976.68,12.21,9.75,84.9,3.45,0.0
976.69,12.29,9.67,84.0,3.03,0.0
976.63,12.28,9.68,84.1,3.68,0.0
976.55,12.32,9.59,83.4,4.01,0.0
976.66,12.32,9.65,83.7,6.21,0.0
976.68,12.26,9.73,84.5,4.57,0.0
976.7,12.23,9.7,84.5,4.44,0.0
976.7,12.18,9.67,84.6,4.47,0.0
976.78,12.17,9.66,84.6,4.57,0.0
976.8,12.08,9.66,85.1,4.44,0.0
976.8,11.93,9.74,86.4,4.35,0.0
976.86,11.84,9.65,86.4,4.57,0.0
976.85,11.88,9.53,85.5,4.35,0.0
976.87,11.98,9.45,84.5,4.93,0.0
976.98,12.02,9.41,84.0,4.08,0.0
977.0,12.05,9.35,83.5,4.07,0.0
976.94,12.02,9.3,83.4,4.72,0.0
977.03,12.03,9.17,82.6,5.45,0.0
976.98,12.31,9.04,80.4,6.08,0.0
977.05,12.29,9.08,80.7,3.7,0.0
977.07,12.19,9.07,81.2,3.77,0.0
977.03,12.06,9.05,81.8,3.12,0.0
977.1,11.97,9.05,82.3,2.87,0.0
977.19,11.8,9.07,83.3,2.81,0.0
977.28,11.67,9.06,84.0,2.46,0.0
977.34,11.6,9.07,84.4,2.4,0.0
977.36,11.49,9.03,84.8,0.9,0.0
977.48,11.49,9.01,84.7,1.04,0.0
977.53,11.41,8.98,85.0,1.82,0.0
977.57,11.31,8.96,85.4,2.94,0.0
977.67,10.89,8.94,87.7,3.46,0.0
977.77,10.83,8.89,87.8,4.47,0.0
977.89,10.91,8.87,87.2,3.25,0.0
977.96,11.04,8.9,86.6,3.3,0.0
978.02,11.17,8.9,85.9,2.99,0.0
978.08,11.1,8.89,86.2,3.4,0.0
978.16,11.09,8.89,86.3,3.65,0.0
978.23,11.17,8.89,85.8,3.54,0.0
978.22,11.29,8.9,85.2,3.45,0.0
978.25,11.32,8.96,85.4,4.31,0.0
978.35,11.34,9.04,85.7,3.94,0.0
978.38,11.3,9.17,86.7,5.75,0.0
978.35,11.27,9.33,87.8,6.62,0.0
978.4,11.32,9.48,88.4,7.45,0.0
978.44,11.22,9.63,89.9,6.3,0.0
978.47,11.05,9.69,91.3,5.74,0.0
978.55,11.01,9.68,91.5,5.45,0.0
978.7,10.94,9.66,91.8,4.54,0.0
978.76,10.93,9.62,91.6,3.77,0.0
978.85,10.9,9.56,91.4,3.48,0.0
978.89,10.87,9.54,91.5,2.99,0.0
978.93,10.75,9.49,91.9,2.74,0.0
979.01,10.78,9.42,91.3,2.05,0.0
978.99,10.86,9.39,90.6,3.45,0.0
979.07,10.75,9.41,91.4,3.2,0.0
979.18,10.6,9.37,92.1,3.11,0.0
979.28,10.59,9.35,92.0,3.77,0.0
979.34,10.61,9.37,92.0,3.36,0.0
979.39,10.64,9.33,91.6,3.62,0.0
979.45,10.72,9.36,91.3,3.42,0.0
979.43,10.68,9.32,91.3,3.55,0.0
979.47,10.77,9.25,90.3,3.29,0.0
979.57,10.87,9.17,89.2,3.33,0.0
979.69,10.96,9.14,88.5,2.88,0.0
979.77,10.93,9.14,88.7,3.06,0.0
979.9,10.87,9.2,89.4,3.15,0.0
980.02,10.78,9.31,90.6,2.39,0.0
980.18,10.74,9.35,91.1,2.38,0.0
980.31,10.74,9.38,91.3,3.42,0.86
980.38,10.71,9.47,92.0,3.55,3.6
980.51,10.73,9.45,91.8,3.63,8.64
980.62,10.85,9.39,90.7,4.03,16.03
980.76,10.98,9.42,90.1,3.18,21.28
980.94,11.07,9.35,89.1,2.5,15.04
980.98,11.08,9.42,89.5,4.69,32.97
981.05,11.04,9.56,90.6,3.4,44.22
981.22,11.1,9.67,90.9,2.53,58.91
981.37,11.27,9.68,89.9,2.81,64.64
981.51,11.38,9.77,89.8,3.45,47.22
981.61,11.46,9.6,88.3,3.89,58.46
981.71,11.61,9.58,87.3,4.28,104.36
981.8,11.88,9.67,86.3,3.42,237.88
981.84,12.44,9.64,83.0,4.09,222.7
981.97,12.65,9.66,82.0,4.07,256.45
982.04,12.81,9.49,80.2,4.86,161.56
982.13,12.87,9.41,79.44,5.24,183.42
982.22,13.2,9.32,77.3,6.71,394.45
982.3,13.48,9.26,75.57,6.33,370.09
982.4,13.52,9.44,76.3,7.89,306.81
982.48,13.49,9.42,76.37,6.93,279.55
982.52,13.66,9.33,75.03,7.06,199.72
982.58,13.67,9.07,73.68,7.09,116.94
982.68,13.63,8.94,73.23,7.24,87.26
982.78,13.48,8.86,73.54,7.25,95.26
982.98,13.46,8.91,73.89,5.9,112.83
983.08,13.51,8.65,72.38,6.63,113.35
983.12,13.54,8.78,72.89,5.81,141.96
983.23,13.55,8.77,72.8,8.28,246.07
983.34,13.57,8.69,72.3,7.67,215.35
983.45,13.65,8.83,72.6,7.02,228.42
983.49,13.67,8.87,72.72,7.64,241.47
983.56,13.87,8.89,71.87,7.37,279.02
983.55,14.12,8.64,69.5,7.68,155.4
983.62,14.02,8.45,69.09,9.09,143.15
983.82,13.98,8.86,71.21,5.21,98.51
983.97,13.63,9.11,74.1,3.74,186.79
984.09,13.62,9.06,73.87,5.62,106.22
984.21,13.1,9.42,78.34,6.14,146.89
984.31,12.66,9.56,81.4,6.27,110.83
984.32,12.36,9.84,84.6,3.73,176.57
984.36,12.83,9.95,82.6,3.42,297.64
984.42,13.54,10.16,79.97,3.16,214.01
984.54,13.63,9.67,76.93,6.4,169.62
984.62,13.56,9.31,75.42,6.2,193.02
984.73,13.86,9.35,74.19,6.06,421.59
984.91,14.0,9.51,74.33,4.57,190.19
985.04,13.71,9.58,76.09,5.45,139.17
985.13,13.64,9.62,76.61,4.54,203.79
985.19,13.82,9.5,75.11,5.15,52.98
985.33,13.66,9.22,74.5,8.0,99.82
985.51,13.36,9.17,75.69,7.06,152.3
985.63,13.35,9.25,76.17,4.46,160.75
985.71,13.43,9.17,75.37,5.25,172.78
985.75,13.86,9.25,73.68,3.21,274.95
985.83,14.29,9.05,70.68,6.91,198.74
985.94,14.15,9.1,71.59,4.47,97.58
986.03,13.9,9.12,72.87,2.73,107.03
986.16,13.94,9.09,72.53,2.72,178.88
986.21,14.25,8.91,70.2,3.8,126.93
986.32,13.98,8.62,70.04,5.37,41.59
986.45,13.64,8.45,70.79,2.82,27.77
986.55,13.48,8.39,71.26,1.47,13.93
986.7,13.41,8.46,71.9,1.83,11.07
986.88,13.23,8.63,73.63,5.68,6.41
987.06,12.68,9.2,79.33,6.97,2.67
987.23,12.35,9.44,82.4,2.82,0.54
987.47,12.25,9.52,83.4,3.33,0.0
987.67,12.18,9.58,84.1,3.75,0.0
987.84,12.03,9.63,85.2,2.64,0.0
988.04,12.01,9.64,85.4,1.6,0.0
988.23,12.0,9.72,85.9,1.9,0.0
988.41,11.8,9.95,88.4,1.99,0.0
988.53,11.59,10.06,90.3,1.1,0.0
988.65,11.46,10.06,91.1,1.05,0.0
988.74,11.37,9.97,91.1,1.43,0.0
988.9,11.22,10.04,92.4,1.17,0.0
989.0,11.18,9.95,92.1,1.99,0.0
989.1,11.18,9.9,91.8,2.12,0.0
989.24,11.24,9.8,90.8,2.47,0.0
989.44,11.37,9.71,89.5,2.25,0.0
989.59,11.45,9.62,88.5,2.56,0.0
989.75,11.5,9.62,88.2,3.06,0.0
989.87,11.54,9.51,87.3,2.43,0.0
989.98,11.58,9.38,86.3,3.97,0.0
990.19,11.54,9.37,86.5,2.45,0.0
990.32,11.52,9.28,86.1,2.02,0.0
990.41,11.49,9.2,85.8,3.34,0.0
990.48,11.45,9.13,85.6,2.87,0.0
990.59,11.47,9.04,85.0,1.7,0.0
990.77,11.4,9.01,85.2,1.71,0.0
990.87,11.36,8.92,84.9,1.99,0.0
990.91,11.32,8.88,84.9,2.42,0.0
991.01,11.28,8.87,85.1,2.4,0.0
991.18,11.32,8.84,84.7,2.03,0.0
991.28,11.33,8.89,84.9,1.04,0.0
991.33,11.39,8.84,84.3,0.92,0.0
991.39,11.37,8.77,84.0,1.71,0.0
991.4,11.33,8.82,84.5,1.31,0.0
991.48,11.32,8.74,84.1,1.17,0.0
991.51,11.28,8.77,84.5,1.31,0.0
991.53,11.08,8.76,85.6,1.15,0.0
991.57,11.01,8.63,85.2,1.3,0.0
991.56,10.96,8.59,85.3,1.23,0.0
991.61,10.88,8.64,86.0,1.02,0.0
991.63,10.89,8.7,86.3,1.76,0.0
991.68,10.89,8.77,86.7,2.02,0.0
991.74,10.96,8.8,86.5,2.08,0.0
991.84,11.01,8.8,86.2,1.98,0.0
991.98,11.03,8.77,85.9,2.04,0.0
992.0,11.03,8.7,85.5,2.11,0.0
992.01,11.06,8.64,85.0,2.18,0.0
992.12,11.12,8.51,83.9,3.54,0.0
992.14,11.1,8.42,83.5,2.97,0.0
992.16,10.92,8.35,84.1,2.14,0.0
992.19,10.79,8.29,84.5,2.59,0.0
992.24,10.61,8.29,85.5,2.09,0.0
992.18,10.49,8.2,85.7,2.62,0.0
992.2,10.43,8.14,85.7,2.43,0.0
992.37,10.24,8.09,86.5,2.52,0.0
992.45,10.04,8.01,87.2,2.37,0.0
992.49,9.92,7.86,87.0,2.46,0.0
992.58,9.79,7.74,87.0,2.2,0.0
992.69,9.74,7.6,86.5,2.43,0.0
992.68,9.79,7.43,85.2,2.93,0.0
992.73,9.74,7.36,85.1,2.91,0.0
992.72,9.46,7.36,86.7,2.33,0.0
992.7,9.09,7.25,88.2,3.61,0.0
992.77,9.07,7.14,87.7,3.63,0.0
992.86,8.79,7.05,88.8,2.2,0.0
992.92,8.57,7.03,90.0,2.26,0.0
993.01,8.66,7.04,89.5,2.23,0.0
993.04,8.81,7.05,88.7,2.5,0.0
992.99,8.75,7.01,88.8,2.92,0.0
993.04,8.79,6.98,88.4,4.5,0.0
993.05,9.29,7.09,86.1,3.89,0.0
992.95,9.62,7.18,84.7,3.16,0.0
992.97,9.48,7.14,85.3,3.14,0.0
992.99,9.39,7.16,85.9,2.98,0.0
993.0,9.42,7.25,86.3,3.04,0.0
992.97,9.41,7.36,87.0,3.1,0.0
992.95,9.31,7.4,87.8,2.46,0.0
993.05,9.14,7.38,88.7,2.4,0.0
993.01,9.13,7.35,88.6,2.16,3.64
993.01,9.07,7.36,89.0,3.0,13.9
993.05,9.23,7.35,88.0,2.8,35.16
992.87,9.53,7.34,86.2,3.27,57.2
992.88,9.69,7.4,85.6,2.26,85.7
992.99,9.94,7.51,84.8,2.87,99.9
993.08,9.55,7.67,88.0,3.14,104.15
993.03,9.39,7.79,89.7,3.07,102.54
993.1,9.44,7.84,89.7,3.29,100.06
993.16,9.75,8.0,88.8,3.31,178.91
993.05,10.07,7.99,86.9,3.83,161.71
992.95,10.39,8.05,85.4,4.0,197.35
992.78,10.52,8.08,84.8,4.52,178.72
992.78,10.6,8.02,84.0,4.91,153.11
992.89,11.01,8.17,82.6,4.15,324.92
992.89,11.55,8.26,80.2,3.28,193.42
992.77,11.69,8.25,79.38,5.51,260.98
992.67,12.21,8.36,77.27,5.2,356.46
992.64,12.49,8.36,75.87,7.62,178.29
992.55,12.47,8.49,76.63,7.15,154.41
992.42,12.58,8.61,76.71,8.16,210.66
992.31,12.72,8.67,76.34,6.5,225.06
992.26,12.91,8.77,75.89,7.14,262.2
992.21,13.03,8.82,75.56,8.57,197.55
992.08,13.18,8.83,74.86,10.13,334.46
991.9,13.54,8.8,72.99,9.71,434.83
991.81,13.68,8.92,72.93,9.47,372.47
991.64,13.7,8.89,72.64,10.32,335.71
991.57,13.75,9.0,72.99,7.56,249.23
991.39,13.84,8.96,72.37,8.29,201.44
991.47,13.74,8.98,72.9,7.42,133.3
991.31,13.63,8.91,73.07,8.74,156.63
991.12,13.61,9.05,73.89,9.58,179.09
991.08,13.6,9.36,75.52,5.74,127.21
990.94,13.59,9.51,76.29,5.42,129.53
990.83,13.65,9.6,76.49,6.55,209.59
990.69,13.61,9.7,77.2,5.53,127.54
990.58,13.63,9.88,78.03,4.88,123.05
990.44,13.67,9.97,78.28,5.9,129.98
990.23,13.8,9.82,76.84,8.65,163.48
990.09,14.21,9.67,74.11,8.74,227.77
990.12,14.52,9.57,72.13,10.5,268.65
990.05,14.75,9.55,70.98,11.57,200.96
989.95,14.74,9.53,70.94,13.71,218.42
989.87,14.69,9.66,71.77,13.52,211.4
989.88,14.62,9.77,72.63,10.75,195.64
989.78,14.52,9.8,73.24,14.35,152.56
989.82,14.4,9.91,74.37,11.69,127.13
989.77,14.33,9.94,74.85,10.5,131.02
989.79,14.32,9.95,74.97,10.64,88.07
989.87,14.31,10.03,75.41,10.44,70.71
989.79,14.24,10.08,76.03,12.45,81.81
989.71,14.24,10.12,76.24,11.44,63.53
989.71,14.29,10.19,76.35,10.67,65.78
989.57,14.38,10.25,76.18,10.5,120.17
989.37,14.45,10.29,76.07,13.3,110.43
989.37,14.57,10.38,75.93,10.21,131.74
989.32,14.71,10.45,75.6,10.86,124.13
989.32,14.77,10.47,75.4,11.8,135.16
989.49,14.7,10.48,75.81,11.13,85.0
989.52,14.61,10.53,76.51,9.5,64.52
989.55,14.59,10.56,76.72,10.43,45.45
989.41,14.58,10.55,76.76,10.49,44.83
989.35,14.55,10.56,76.96,9.47,37.53
989.48,14.55,10.53,76.78,9.24,26.85
989.6,14.55,10.52,76.73,7.09,19.01
989.53,14.49,10.51,76.99,4.19,7.62
989.44,14.4,10.44,77.05,6.64,1.49
989.44,14.35,10.43,77.29,5.88,0.0
989.56,14.31,10.49,77.77,6.68,0.0
989.73,14.32,10.59,78.27,8.68,0.0
989.89,14.37,10.7,78.59,8.81,0.0
989.78,14.46,10.79,78.56,7.64,0.0
989.63,14.49,10.84,78.69,10.27,0.0
989.64,14.54,10.91,78.81,8.32,0.0
989.72,14.54,10.94,78.94,9.13,0.0
989.85,14.53,10.97,79.19,5.91,0.0
989.9,14.54,11.01,79.32,7.71,0.0
989.85,14.58,11.01,79.11,7.56,0.0
989.89,14.58,11.04,79.28,6.8,0.0
989.86,14.54,11.04,79.48,6.25,0.0
989.73,14.56,11.02,79.3,7.15,0.0
989.6,14.58,10.99,79.04,8.23,0.0
989.61,14.54,10.96,79.09,7.31,0.0
989.61,14.54,10.94,78.95,7.62,0.0
989.62,14.6,10.95,78.73,8.62,0.0
989.71,14.56,11.01,79.21,6.53,0.0
989.68,14.6,11.06,79.27,7.85,0.0
989.65,14.71,11.1,78.95,8.26,0.0
989.53,14.84,11.12,78.36,9.55,0.0
989.56,14.86,11.12,78.3,8.52,0.0
989.55,14.84,11.09,78.24,8.46,0.0
989.58,14.8,11.07,78.31,9.35,0.0
989.63,14.76,11.04,78.39,9.13,0.0
989.84,14.71,11.08,78.83,6.28,0.0
989.87,14.68,11.09,79.01,7.77,0.0
989.76,14.69,11.11,79.1,7.64,0.0
989.64,14.63,11.14,79.55,8.35,0.0
989.51,14.61,11.18,79.88,9.58,0.0
989.57,14.64,11.23,80.0,10.88,0.0
989.53,14.64,11.27,80.2,7.82,0.0
989.52,14.72,11.25,79.65,7.23,0.0
989.65,14.78,11.25,79.35,8.22,0.0
989.66,14.71,11.25,79.7,6.18,0.0
989.66,14.63,11.26,80.2,6.62,0.0
989.69,14.57,11.32,80.8,6.49,0.0
989.7,14.6,11.38,81.0,7.86,0.0
989.57,14.66,11.46,81.1,8.75,0.0
989.49,14.65,11.5,81.4,8.63,0.0
989.48,14.69,11.54,81.4,8.12,0.0
989.55,14.7,11.59,81.6,9.06,0.0
989.6,14.79,11.64,81.4,8.38,0.0
989.68,14.84,11.69,81.4,8.41,0.0
989.72,14.85,11.74,81.6,8.23,0.0
989.76,14.89,11.79,81.7,10.13,0.0
989.79,14.93,11.81,81.6,9.96,0.0
989.74,14.96,11.84,81.6,9.12,0.0
989.81,14.95,11.89,81.9,8.46,0.0
989.85,14.96,11.92,82.0,9.25,0.0
989.88,14.97,11.95,82.1,7.92,0.0
989.9,14.91,12.0,82.7,7.12,0.0
990.08,14.83,12.12,83.8,6.12,0.0
990.08,14.68,12.28,85.5,6.78,0.0
989.98,14.59,12.33,86.3,9.15,0.0
990.07,14.59,12.3,86.1,8.9,0.0
990.2,14.61,12.3,86.0,7.67,0.0
990.31,14.59,12.3,86.1,5.72,0.0
990.35,14.6,12.29,86.0,5.32,0.0
990.4,14.6,12.29,86.0,4.9,0.0
990.48,14.61,12.37,86.4,6.69,0.0
990.61,14.45,12.56,88.4,6.09,0.0
991.05,14.12,12.78,91.6,4.49,0.0
991.15,13.45,12.84,96.1,3.39,0.0
991.22,13.16,12.88,98.2,3.48,0.0
991.33,13.05,12.96,99.4,1.68,0.0
991.35,12.95,12.95,100.0,1.3,0.0
991.45,12.91,12.88,99.8,3.43,0.0
991.5,12.82,12.73,99.4,4.1,0.0
991.58,12.74,12.72,99.9,2.46,0.0
991.63,12.69,12.69,100.0,2.39,0.0
991.74,12.66,12.66,100.0,1.55,0.0
991.78,12.63,12.63,100.0,2.37,0.0
991.82,12.55,12.55,100.0,2.37,0.0
991.87,12.39,12.36,99.8,2.02,0.0
991.92,12.21,12.16,99.7,3.14,0.56
992.0,12.0,11.88,99.2,2.94,1.9
992.07,11.81,11.69,99.2,2.37,4.41
992.15,11.78,11.57,98.6,2.69,10.11
992.25,11.81,11.64,98.9,2.15,20.13
992.25,11.87,11.66,98.6,1.69,33.27
992.3,11.94,11.73,98.6,1.27,42.07
992.41,12.0,11.48,96.6,1.45,42.26
992.47,12.06,11.61,97.1,1.45,42.64
992.49,12.16,11.5,95.7,1.2,44.77
992.46,12.15,11.37,95.0,1.04,74.22
992.55,12.1,11.56,96.5,0.88,66.69
992.73,12.14,11.63,96.7,1.18,61.88
992.93,12.12,11.46,95.7,1.65,43.5
993.03,12.11,11.4,95.4,1.75,74.73
993.16,12.04,11.42,96.0,1.96,79.62
993.25,11.83,11.29,96.5,2.46,76.89
993.24,11.69,11.22,96.9,2.58,109.32
993.13,11.6,10.8,94.8,1.31,101.55
993.12,11.54,10.74,94.8,0.76,79.8
993.08,11.71,11.22,96.8,1.57,141.87
993.08,11.8,11.15,95.8,1.39,121.2
993.06,11.72,11.07,95.8,1.58,115.01
993.0,11.68,11.16,96.6,1.72,132.64
993.08,11.87,11.25,96.0,1.37,130.74
993.08,11.93,11.11,94.7,1.55,135.04
993.16,11.93,10.88,93.3,1.48,155.71
993.12,12.02,10.66,91.4,1.01,124.58
993.06,12.17,10.62,90.2,1.49,140.09
993.03,12.28,11.12,92.6,1.34,129.88
993.07,12.25,10.76,90.6,1.36,147.77
993.07,12.48,9.93,84.4,1.78,192.04
993.02,12.48,9.96,84.6,1.9,134.34
992.99,12.33,10.16,86.6,1.76,92.7
992.91,12.19,10.63,90.2,1.57,74.69
992.74,11.92,10.71,92.3,1.84,74.28
992.6,11.82,10.53,91.8,1.78,89.61
992.5,11.76,10.86,94.2,1.61,92.76
992.39,11.79,10.83,93.8,2.13,96.91
992.29,11.8,10.55,92.0,1.77,101.59
992.22,11.88,10.62,92.0,1.35,77.74
992.16,11.94,10.67,91.9,1.31,104.32
992.17,12.17,11.07,93.0,1.39,112.7
992.02,12.38,11.15,92.2,0.95,152.76
991.89,12.54,11.21,91.6,1.34,121.81
991.69,12.56,11.31,92.1,1.89,206.3
991.58,12.56,11.54,93.5,1.84,235.67
991.53,12.61,11.74,94.4,1.81,134.67
991.42,12.44,11.74,95.5,1.36,85.08
991.31,12.52,11.88,95.9,2.04,59.05
991.24,12.51,12.03,96.9,1.99,90.36
991.21,12.52,12.17,97.7,1.39,68.27
991.14,12.46,12.23,98.5,1.42,66.21
991.09,12.43,12.25,98.8,1.43,89.79
991.0,12.51,12.48,99.8,1.98,57.95
990.87,12.63,12.58,99.7,2.15,64.45
990.8,12.71,12.69,99.9,1.79,69.14
990.78,12.74,12.74,100.0,2.39,45.99
990.77,12.77,12.77,100.0,2.27,22.26
990.74,12.81,12.81,100.0,2.8,19.23
990.71,12.82,12.82,100.0,2.71,24.52
990.69,12.76,12.76,100.0,2.62,22.23
990.67,12.72,12.72,100.0,3.17,22.18
990.63,12.73,12.73,100.0,2.58,18.63
990.62,12.75,12.75,100.0,2.35,6.49
990.6,12.7,12.7,100.0,2.11,3.18
990.63,12.63,12.63,100.0,2.5,2.0
990.62,12.6,12.6,100.0,2.37,1.13
990.59,12.59,12.59,100.0,2.16,0.14
990.6,12.59,12.59,100.0,1.91,0.0
990.61,12.57,12.57,100.0,1.64,0.0
990.67,12.59,12.59,100.0,2.09,0.0
990.66,12.61,12.61,100.0,2.0,0.0
990.67,12.62,12.62,100.0,1.96,0.0
990.6,12.65,12.65,100.0,2.45,0.0
990.55,12.66,12.66,100.0,2.43,0.0
990.62,12.7,12.7,100.0,2.45,0.0
990.71,12.76,12.76,100.0,2.4,0.0
990.71,12.84,12.84,100.0,2.4,0.0
990.63,12.88,12.88,100.0,2.95,0.0
990.49,13.0,13.0,100.0,2.54,0.0
990.5,13.18,13.13,99.7,2.06,0.0
990.56,13.45,13.17,98.2,1.74,0.4
990.58,13.6,13.15,97.1,1.41,0.7
990.65,13.58,13.24,97.8,2.55,0.66
990.61,13.32,13.26,99.6,2.25,0.06
990.47,13.23,13.23,100.0,2.05,0.0
990.4,13.23,13.15,99.5,2.78,0.0
990.37,13.19,13.08,99.3,2.84,0.0
990.34,13.1,13.01,99.4,2.52,0.0
990.26,13.08,12.94,99.1,2.34,0.0
990.28,13.1,12.68,97.3,2.71,0.0
990.2,12.65,12.63,99.9,2.68,0.0
990.19,12.6,12.55,99.7,2.94,0.0
990.19,12.8,12.55,98.4,3.61,0.0
990.05,12.87,12.53,97.8,3.61,0.0
990.05,13.02,12.59,97.2,3.6,0.0
990.5,12.99,12.29,95.5,5.01,0.0
990.6,12.52,11.81,95.4,4.37,0.0
990.66,12.13,11.7,97.2,3.09,0.0
990.81,11.82,11.55,98.2,4.41,0.0
990.78,11.67,11.43,98.4,3.14,0.14
990.64,11.64,11.38,98.3,2.05,0.0
990.67,11.58,11.32,98.3,2.77,0.0
990.58,11.5,11.33,98.9,2.39,0.0
990.45,11.42,11.18,98.4,1.98,0.0
990.36,11.38,11.23,99.0,1.92,0.0
990.44,11.34,11.17,98.9,1.17,0.0
990.37,11.29,11.14,99.0,0.79,0.0
990.29,11.31,10.94,97.6,1.08,0.0
990.31,11.26,11.08,98.8,1.4,0.0
990.29,11.11,11.11,100.0,1.77,0.0
990.2,11.13,11.01,99.2,1.77,0.0
990.13,11.08,11.02,99.6,1.24,0.0
990.09,11.03,11.0,99.8,0.7,0.0
990.12,11.07,11.05,99.9,1.72,0.0
990.14,11.1,11.1,100.0,1.86,0.0
990.15,11.02,11.02,100.0,1.72,0.0
990.05,10.97,10.97,100.0,1.8,0.0
989.99,11.01,11.01,100.0,2.19,0.0
990.0,10.98,10.98,100.0,1.8,0.0
989.95,10.9,10.9,100.0,1.66,0.0
989.91,10.92,10.92,100.0,1.23,0.0
989.88,11.02,11.02,100.0,1.2,0.0
989.8,11.04,11.04,100.0,1.17,0.0
989.74,11.06,11.06,100.0,1.39,0.0
989.86,10.98,10.98,100.0,1.4,0.0
989.95,10.92,10.92,100.0,1.4,0.0
989.97,10.86,10.86,100.0,1.5,0.0
990.02,10.88,10.88,100.0,1.76,0.0
990.05,11.07,10.99,99.5,0.86,0.0
990.09,11.14,10.91,98.5,0.8,0.0
990.14,11.26,10.71,96.4,1.62,0.0
990.22,11.55,10.46,93.0,2.74,0.0
990.2,11.63,10.3,91.5,2.65,0.0
990.32,11.42,10.28,92.7,4.22,0.0
990.42,11.11,10.2,94.1,3.07,0.0
990.5,10.84,9.96,94.3,3.39,0.0
990.4,10.63,9.88,95.1,3.06,0.0
990.48,10.44,9.72,95.3,2.46,0.0
990.5,10.38,9.54,94.5,2.21,0.0
990.53,10.4,9.03,91.2,3.39,0.0
990.52,10.35,8.87,90.5,2.34,0.0
990.59,10.23,8.85,91.1,1.36,0.0
990.68,10.16,8.7,90.6,2.16,0.36
990.71,10.13,8.5,89.6,1.89,2.9
990.79,10.15,8.49,89.4,1.91,10.43
990.86,10.23,8.63,89.8,1.98,21.27
990.96,10.09,8.71,91.1,1.82,31.27
991.08,9.98,8.79,92.3,0.9,37.78
991.26,9.83,8.63,92.2,1.7,50.21
991.33,9.75,8.64,92.8,1.69,56.88
991.41,9.69,8.71,93.6,1.49,75.88
991.48,9.88,8.64,92.0,1.06,103.37
991.59,10.17,8.57,89.8,1.2,101.97
991.71,10.37,8.61,88.8,0.81,60.84
991.79,10.46,8.48,87.5,1.2,74.75
991.89,10.6,8.48,86.7,2.04,105.31
991.95,10.69,8.5,86.3,3.3,104.7
992.07,10.66,8.37,85.7,3.4,101.3
992.12,10.66,8.35,85.6,5.29,165.33
992.39,10.59,8.06,84.3,5.88,62.97
992.58,9.72,6.39,79.67,4.28,62.53
992.66,9.31,6.02,79.86,3.61,108.97
992.79,9.17,6.07,80.9,4.92,85.54
992.94,8.67,6.09,83.8,4.54,40.76
993.06,8.42,6.25,86.2,3.94,52.07
993.13,8.29,6.54,88.7,3.05,102.22
993.08,8.37,6.67,89.0,3.21,104.57
993.09,8.78,6.86,87.7,2.21,245.9
993.13,9.25,7.09,86.3,2.1,288.41
993.18,9.7,6.64,81.2,4.13,236.52
993.19,9.94,6.44,78.77,3.55,227.88
993.22,10.15,6.34,77.18,2.91,213.61
993.28,10.17,6.4,77.38,2.32,218.51
993.31,10.25,6.4,76.96,3.61,242.73
993.3,10.42,6.62,77.23,4.01,225.67
993.37,10.42,6.35,75.85,3.45,215.21
993.47,10.5,6.4,75.69,4.14,220.84
993.52,10.6,6.39,75.14,3.51,217.89
993.56,10.67,6.36,74.64,3.36,210.12
993.61,10.69,6.15,73.43,4.19,221.36
993.69,10.79,5.81,71.27,4.09,232.1
993.73,10.72,5.6,70.56,3.58,164.89
993.74,10.63,5.54,70.67,5.35,167.3
993.69,10.73,5.63,70.67,4.33,197.53
993.61,10.77,5.71,70.87,5.12,207.18
993.58,10.92,5.93,71.25,4.23,252.41
993.57,11.09,5.55,68.6,4.82,223.37
993.53,11.09,4.51,63.78,4.6,223.84
993.47,11.12,4.51,63.66,3.88,232.3
993.52,11.22,4.43,62.88,4.15,222.73
993.58,11.21,4.5,63.23,2.77,231.86
